,labels,messages
53,2,"['seppala', 'revenue', 'increase', 'eur', 'finland', 'revenue', 'go', 'down', 'eur', 'sale', 'abroad', 'rise', 'eur', 'sale', 'increase', 'baltic', 'country', 'well', 'russia', 'ukraine']"
54,2,"['share', 'standard', 'charter', 'stan', 'rise', 'ftse', 'royal', 'bank', 'scotland', 'rbs', 'share', 'rise', 'barclay', 'share', 'barc', 'bcs', 'up']"
55,2,"['share', 'nokia', 'corp', 'rise', 'thursday', 'cell', 'phone', 'maker', 'say', 'third', 'quarter', 'earning', 'almost', 'double', 'share', 'global', 'handset', 'market', 'increase']"
56,2,"['financial', 'report', 'publish', 'friday', 'seb', 'say', 'net', 'profit', 'soar', 'sek', 'bn', 'year', 'early', 'sek', 'bn', 'propose', 'dividend', 'increase', 'sek', 'per', 'share']"
57,2,"['sale', 'department', 'store', 'division', 'increase', 'sale', 'clothing', 'store', 'subsidiary', 'seppala', 'increase', 'meanwhile', 'sale', 'hobby', 'hall', 'decrease']"
58,1,"['request', 'finnish', 'medium', 'company', 'alma', 'medium', 'newspaper', 'research', 'manager', 'jari', 'kaivo', 'oja', 'finland', 'future', 'research', 'centre', 'turku', 'school', 'economic', 'draw', 'up', 'future', 'scenario', 'finland', 'national', 'economy', 'use', 'model', 'develop', 'university', 'denver']"
59,1,"['sweden', 'gallerix', 'accumulate', 'sek', 'denominate', 'sale', 'down', 'eur', 'denominate', 'sale', 'up']"
60,1,"['company', 'support', 'global', 'customer', 'develop', 'new', 'technology', 'offer', 'fast', 'route', 'product', 'development', 'application', 'volume', 'production']"
61,1,"['investment', 'place', 'atria', 'plan', 'expand', 'moscow', 'market']"
62,1,"['new', 'agreement', 'continuation', 'theagreement', 'sign', 'early', 'year', 'lemminkainen', 'group', 'whereby', 'cramo', 'acquire', 'entire', 'construction', 'machine', 'fleet', 'oflemminkainen', 'talo', 'oy', 'ita', 'ja', 'pohjois', 'suomo', 'sign', 'asimilar', 'agreement', 'say', 'tatu', 'hauhio', 'managing', 'director', 'ofcramo', 'finland']"
63,2,"['first', 'contract', 'envisage', 'construction', 'three', 'ferryboat', 'option', 'two', 'unit', 'far', 'confirm', 'total', 'value', 'mln', 'euro', 'mln']"
64,1,"['june', 'sell', 'percent', 'stake', 'nordstjernan', 'investment', 'group', 'take', 'up', 'option', 'acquire', 'eqt', 'remain', 'share']"
65,2,"['kesko', 'corporation', 'stock', 'exchange', 'release', 'kesko', 'corporation', 'aspo', 'plc', 'today', 'sign', 'agreement', 'aspo', 'acquire', 'share', 'capital', 'kauko', 'telko', 'ltd', 'subsidiary', 'wholly', 'kesko']"
66,2,"['sponda', 'plc', 'stock', 'exchange', 'release', 'december', 'eur', 'billion', 'syndicate', 'credit', 'facility', 'sponda', 'sponda', 'sign', 'agreement', 'one', 'year', 'syndicate', 'credit', 'facility', 'total', 'eur', 'billion']"
67,1,"['stock', 'exchange', 'announcement', 'july', 'basware', 'share', 'subscription', 'warrant', 'increase', 'share', 'capital', 'total', 'share', 'subscribe', 'basware', 'warrant', 'program']"
68,2,"['contract', 'cover', 'hdo', 'platform', 'ac', 'cxe', 'optical', 'fttb', 'node', 'design', 'increase', 'forward', 'return', 'path', 'capacity', 'transmission', 'network']"
69,1,"['new', 'plant', 'plan', 'electricity', 'generation', 'capacity', 'up', 'megawatt', 'mw', 'heat', 'generation', 'capacity']"
70,2,"['omx', 'helsinki', 'index', 'up', 'pct', 'helsinki', 'cap', 'portfolio', 'index', 'pct', 'high']"
71,1,"['sale', 'growth', 'car', 'considerably', 'influence', 'tire', 'market']"
72,1,"['maximum', 'new', 'share', 'far', 'subscribe', 'exercise', 'option', 'stock', 'option', 'plan']"
73,1,"['result', 'share', 'issue', 'number', 'company', 'share', 'increase', 'share', 'share', 'capital', 'total', 'eur']"
74,1,"['finnish', 'real', 'estate', 'investor', 'sponda', 'plc', 'say', 'wednesday', 'march', 'sign', 'agreement', 'danske', 'bank', 'helsinki', 'branch', 'year', 'eur', 'credit', 'facility', 'ilmarinen', 'mutual', 'pension', 'insurance', 'company', 'year', 'eur', 'credit', 'facility']"
75,1,"['route', 'helsinki', 'finland', 'tallinn', 'estonia', 'cargo', 'volume', 'increase', 'cargo', 'volume', 'finland', 'sweden', 'fall']"
76,1,"['measure', 'include', 'increase', 'synergy', 'economy', 'scale', 'within', 'grimaldi', 'group', 'personnel', 'adjustment', 'divestment', 'redelivery', 'excess', 'tonnage']"
77,2,"['rinkuskiai', 'raise', 'sale', 'percent', 'million', 'liter', 'sale', 'kauno', 'alus', 'grow', 'percent', 'liter']"
78,1,"['april', 'tj', 'group', 'plc', 'sell', 'stake', 'morning', 'digital', 'design', 'oy', 'finnish', 'company', 'tj', 'group', 'plc', 'say', 'friday', 'april', 'sign', 'agreement', 'sell', 'share', 'morning', 'digital', 'design', 'oy', 'edita', 'oyj']"
79,2,"['april', 'tj', 'group', 'plc', 'sell', 'stake', 'morning', 'digital', 'design', 'oy', 'finnish', 'company', 'tj', 'group', 'plc', 'say', 'friday', 'april', 'sign', 'agreement', 'sell', 'share', 'morning', 'digital', 'design', 'oy', 'edita', 'oyj']"
80,1,"['new', 'series', 'share', 'become', 'subject', 'trading', 'helsinki', 'stock', 'exchange', 'main', 'list', 'together', 'old', 'series', 'share', 'july']"
81,1,"['fuel', 'purchase', 'contract', 'sign', 'three', 'month', 'delivery', 'september', 'november']"
82,1,"['tiimari', 'operate', 'store', 'six', 'country', 'include', 'core', 'finnish', 'market', 'generate', 'turnover', 'mln', 'eur']"
83,2,"['agreement', 'biohit', 'become', 'focus', 'supplier', 'pipettor', 'disposable', 'pipettor', 'tip', 'vwr', 'customer', 'throughout', 'europe']"
84,2,"['combination', 'service', 'enable', 'offer', 'complex', 'strengthen', 'service', 'chain', 'not', 'limit', 'baltic', 'port', 'connection', 'also', 'get', 'access', 'world', 'wide', 'grimaldi', 'network', 'mediterranean', 'africa', 'north', 'america', 'say', 'uwe', 'bakosch']"
85,1,"['no', 'blind', 'spot', 'come', 'vantage', 'point', 'allow', 'investigator', 'see', 'whole', 'story', 'high', 'resolution', 'no', 'unbroken', 'video']"
86,2,"['company', 'still', 'expect', 'turnover', 'slightly', 'increase', 'level', 'add', 'market', 'predictability', 'still', 'poor', 'trustworthy', 'forecast', 'market', 'development', 'contract', 'manufacture', 'business', 'current', 'year']"
87,2,"['acquisition', 'considerably', 'increase', 'kemira', 'sale', 'market', 'position', 'russian', 'metal', 'industry', 'coating', 'market']"
88,2,"['january', 'september', 'finnline', 'net', 'sale', 'rise', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period']"
89,2,"['adjust', 'change', 'group', 'structure', 'division', 'net', 'sale', 'increase']"
90,2,"['change', 'optimize', 'operational', 'efficiency', 'grow', 'business', 'say', 'julia', 'prohaska', 'director', 'marketing', 'communication', 'fiskar']"
91,2,"['would', 'invest', 'not', 'physical', 'infrastructure', 'would', 'also', 'provide', 'know', 'manage', 'develop', 'science', 'technology', 'park', 'say', 'sunrise', 'valley', 'director', 'andrius', 'bagdonas']"
92,2,"['february', 'finnish', 'broadband', 'datum', 'communication', 'system', 'provider', 'teleste', 'oyj', 'hel', 'tlt', 'see', 'net', 'profit', 'jump', 'eur', 'last', 'quarter', 'eur', 'period']"
93,2,"['finnish', 'aktia', 'group', 'operating', 'profit', 'rise', 'eur', 'mn', 'first', 'quarter', 'eur', 'mn', 'first', 'quarter']"
94,2,"['finnish', 'bank', 'land', 'consolidated', 'net', 'operating', 'profit', 'increase', 'eur', 'mn', 'first', 'quarter', 'eur', 'mn', 'first', 'quarter']"
95,2,"['finnish', 'financial', 'group', 'aktia', 'report', 'operate', 'profit', 'eur', 'mn', 'january', 'september', 'up', 'eur', 'mn', 'corresponding', 'period']"
96,2,"['finnish', 'high', 'technology', 'provider', 'vaahto', 'group', 'report', 'net', 'sale', 'eur', 'mn', 'accounting', 'period', 'september', 'february', 'increase', 'year', 'early']"
97,2,"['net', 'sale', 'finnish', 'food', 'industry', 'company', 'ænnen', 'tehtaat', 'continue', 'operation', 'increase', 'eur', 'mn', 'eur', 'mn']"
98,2,"['individual', 'promotion', 'also', 'generate', 'slightly', 'high', 'expect', 'revenue']"
99,2,"['biohit', 'already', 'service', 'many', 'current', 'genesis', 'customer', 'customer', 'base', 'expect', 'expand', 'result', 'agreement']"
100,2,"['operate', 'profit', 'turnover', 'three', 'month', 'period', 'increase', 'respectively', 'eur', 'eur', 'compare', 'corresponding', 'period']"
101,2,"['circulation', 'revenue', 'increase', 'finland', 'sweden']"
102,2,"['clothing', 'chain', 'sepp', 'æl', 'net', 'sale', 'increase', 'eur', 'mn']"
103,2,"['construction', 'volume', 'meanwhile', 'grow', 'rate', 'percent', 'annually']"
104,2,"['finnish', 'swedish', 'construction', 'market', 'still', 'experience', 'estimate', 'annual', 'growth']"
105,2,"['however', 'biohit', 'estimate', 'total', 'net', 'sale', 'continue', 'grow', 'favourable', 'trend', 'net', 'sale', 'lead', 'profit']"
106,2,"['fiskar', 'cash', 'flow', 'operating', 'activity', 'amount', 'eur', 'up', 'eur', 'previous', 'year']"
107,2,"['lithuania', 'operating', 'profit', 'rise', 'eur', 'eur', 'corresponding', 'period']"
108,2,"['fourth', 'quarter', 'net', 'sale', 'increase', 'eur', 'mn', 'eur', 'mn', 'fourth', 'quarter']"
109,2,"['international', 'sale', 'rise', 'eur', 'mn']"
110,1,"['kalmar', 'espana', 'generate', 'net', 'sale', 'mln', 'euro', 'mln']"
111,2,"['net', 'sale', 'grow', 'period', 'ac', 'million', 'us', 'million', 'ac', 'million']"
112,2,"['net', 'sale', 'increase', 'eur', 'april', 'june', 'eur', 'year', 'early']"
113,2,"['net', 'sale', 'rise', 'year', 'year', 'eur', 'number', 'charger', 'deliver', 'go', 'up', 'million', 'piece']"
114,2,"['net', 'sale', 'total', 'eur', 'mn', 'up', 'eur', 'mn', 'corresponding', 'period']"
115,2,"['nokia', 'also', 'note', 'average', 'selling', 'price', 'handset', 'decline', 'period', 'though', 'mobile', 'phone', 'profit', 'margin', 'rise', 'percent', 'percent', 'year', 'ago', 'quarter']"
116,2,"['operating', 'profit', 'increase', 'eur', 'mn', 'eur', 'mn']"
117,2,"['operating', 'profit', 'margin', 'increase']"
118,2,"['operating', 'profit', 'rise', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period']"
119,2,"['operating', 'profit', 'rise', 'eur', 'mn', 'eur', 'mn', 'fourth', 'quarter']"
120,2,"['operating', 'profit', 'eur', 'mn', 'up', 'eur', 'mn']"
121,2,"['ramirent', 'net', 'sale', 'second', 'quarterended', 'june', 'euro', 'million', 'million', 'percent', 'increase', 'compare', 'euro', 'million', 'thesecond', 'quarter', 'last', 'year']"
122,2,"['revenue', 'grow', 'percent', 'ac', 'million', 'million', 'ac', 'million']"
123,2,"['ruukki', 'announce', 'sign', 'agreement', 'aker', 'solution', 'norway', 'supply', 'suction', 'anchor', 'september', 'kalajoki', 'unit', 'finland']"
124,2,"['ruukki', 'delivery', 'volume', 'sell', 'price', 'show', 'favourable', 'development', 'company', 'comparable', 'net', 'sale', 'grow', 'year', 'year', 'eur', 'ceo', 'sakari', 'tamminen', 'say']"
125,2,"['sanoma', 'magazine', 'net', 'sale', 'estimate', 'grow']"
126,2,"['bank', 'forecast', 'finland', 'gdp', 'grow']"
127,2,"['circuit', 'overall', 'production', 'rate', 'weekly', 'basis', 'excess', 'average', 'tonne', 'per', 'day', 'volume', 'excess', 'tonne', 'per', 'day', 'reach', 'individual', 'day']"
128,2,"['company', 'consolidated', 'operating', 'profit', 'amount', 'eur', 'mn', 'up', 'eur', 'mn', 'year', 'year']"
129,2,"['department', 'store', 'division', 'report', 'increase', 'sale', 'per', 'cent']"
130,2,"['fair', 'value', 'company', 'investment', 'property', 'grow', 'eur', 'billion', 'end', 'march', 'eur', 'million', 'year', 'ago']"
131,2,"['last', 'quarter', 'good', 'quarter', 'net', 'sale', 'operating', 'margin', 'rise']"
132,2,"['major', 'brewery', 'increase', 'domestic', 'beer', 'sale', 'per', 'cent', 'last', 'year', 'million', 'litre', 'million', 'litre']"
133,2,"['transaction', 'double', 'tecnomens', 'workforse', 'add', 'fourth', 'net', 'sale']"
134,2,"['operate', 'profit', 'rise', 'eur', 'million']"
135,2,"['purchase', 'cramo', 'become', 'second', 'large', 'rental', 'service', 'provider', 'latvian', 'market']"
136,2,"['priority', 'strengthen', 'company', 'balance', 'sheet', 'increase', 'cash', 'flow', 'ceo', 'hannu', 'krook', 'say']"
137,2,"['purchase', 'operation', 'part', 'yit', 'strategy', 'expand', 'offering', 'build', 'system', 'service', 'geographically']"
138,2,"['october', 'finnish', 'fishing', 'tackle', 'company', 'rapala', 'vmc', 'corp', 'hel', 'rap', 'say', 'today', 'net', 'profit', 'rise', 'eur', 'first', 'nine', 'month', 'eur', 'period', 'year', 'early']"
139,1,"['structure', 'bim', 'build', 'information', 'modeling', 'software', 'tekla', 'model', 'base', 'software', 'provider', 'adopt', 'construction', 'management', 'delivery', 'university', 'project', 'abu', 'dhabi']"
140,2,"['accord', 'finnish', 'metso', 'mineral', 'value', 'company', 'order', 'go', 'up', 'eur', 'bn', 'month']"
141,2,"['finnish', 'aldata', 'solution', 'sign', 'contract', 'supply', 'system', 'two', 'french', 'retail', 'chain']"
142,2,"['finnish', 'bank', 'land', 'report', 'operating', 'profit', 'rise', 'eur', 'mn', 'second', 'quarter', 'eur', 'mn', 'corresponding', 'period']"
143,2,"['finnish', 'financial', 'group', 'aktia', 'operating', 'profit', 'increase', 'eur', 'mn', 'eur', 'mn']"
144,2,"['finnish', 'forest', 'machinery', 'manufacturer', 'ponsse', 'net', 'sale', 'grow', 'eur', 'mn', 'first', 'quarter', 'eur', 'mn', 'corresponding', 'period']"
145,2,"['finnish', 'kci', 'konecrane', 'raise', 'net', 'sale', 'growth', 'estimate']"
146,2,"['finnish', 'okmetic', 'manufacture', 'process', 'silicon', 'wafer', 'semiconductor', 'sensor', 'industry', 'norwegian', 'solar', 'wafer', 'company', 'norsun', 'sign', 'contract', 'okmetic', 'supply', 'norsun', 'mono', 'silicon', 'crystal', 'use', 'solar', 'cell', 'manufacturing']"
147,2,"['finnish', 'pharmaceutical', 'company', 'orion', 'net', 'sale', 'rise', 'eur', 'mn', 'first', 'quarter', 'eur', 'mn', 'first', 'quarter']"
148,2,"['finnish', 'ponsse', 'sign', 'agreement', 'babcock', 'africa', 'distribution', 'support', 'ponsse', 'forest', 'machine', 'harvester', 'head', 'information', 'system', 'south', 'africa']"
149,2,"['south', 'african', 'sappi', 'become', 'large', 'foreign', 'forest', 'industry', 'company', 'operate', 'finland', 'result', 'acquisition', 'finnish', 'real', 'corporation', 'graphic', 'paper', 'business', 'unit']"
150,2,"['accord', 'deputy', 'md', 'pekka', 'silvennoinen', 'aim', 'double', 'turnover', 'next', 'three', 'year']"
151,2,"['accord', 'hkscan', 'finland', 'plan', 'increase', 'ærvi', 'suomen', 'portti', 'net', 'sale', 'eur', 'mn', 'eur', 'mn']"
152,2,"['advertising', 'circulation', 'revenue', 'grow', 'respectively']"
153,2,"['takeover', 'cramo', 'become', 'second', 'large', 'rental', 'service', 'provider', 'latvian', 'market']"
154,2,"['significant', 'sale', 'increase', 'russia']"
155,2,"['alma', 'medium', 'expect', 'net', 'sale', 'increase', 'forecast', 'previously']"
156,2,"['also', 'lemmink', 'æinen', 'profit', 'accounting', 'period', 'go', 'up', 'eur', 'mn', 'eur', 'mn', 'year', 'ago']"
157,2,"['end', 'march', 'group', 'order', 'book', 'eur', 'mn', 'up', 'corresponding', 'period']"
158,2,"['time', 'profit', 'company', 'increase', 'reach', 'ls']"
159,1,"['aviation', 'system', 'maintenance', 'base', 'kansas', 'generate', 'net', 'sale', 'usd', 'million']"
160,2,"['besides', 'increase', 'share', 'meat', 'various', 'sausage', 'offer', 'number', 'new', 'taste', 'grill', 'product', 'shish', 'kebab', 'segment', 'paavel', 'say']"
161,2,"['operate', 'profit', 'net', 'sale', 'month', 'period', 'increase', 'respectively', 'eur', 'eur', 'compare', 'financial', 'year']"
162,2,"['operate', 'profit', 'net', 'sale', 'month', 'period', 'increase', 'respectively', 'eur', 'eur', 'compare', 'financial', 'year']"
163,2,"['operate', 'profit', 'net', 'sale', 'month', 'period', 'increase', 'respectively', 'eur', 'eur', 'compare']"
164,2,"['operate', 'profit', 'net', 'sale', 'month', 'period', 'increase', 'respectively', 'eur', 'eur', 'compare']"
165,2,"['operate', 'profit', 'net', 'sale', 'nine', 'month', 'period', 'increase', 'respectively', 'compare', 'corresponding', 'period']"
166,2,"['operate', 'profit', 'net', 'sale', 'six', 'month', 'period', 'increase', 'respectively', 'eur', 'eur', 'compare', 'corresponding', 'period']"
167,2,"['operate', 'profit', 'net', 'sale', 'six', 'month', 'period', 'increase', 'respectively', 'eur', 'eur', 'compare', 'corresponding', 'period']"
168,2,"['operate', 'profit', 'net', 'sale', 'six', 'month', 'period', 'increase', 'respectively', 'eur', 'eur', 'compare', 'corresponding', 'period']"
169,2,"['operate', 'profit', 'net', 'sale', 'six', 'month', 'period', 'increase', 'respectively', 'eur', 'eur', 'compare', 'corresponding', 'period']"
170,2,"['operate', 'profit', 'net', 'sale', 'three', 'month', 'period', 'increase', 'respectively', 'eur', 'eur', 'compare', 'corresponding', 'period']"
171,2,"['operate', 'profit', 'net', 'sale', 'three', 'month', 'period', 'increase', 'respectively', 'eur', 'eur', 'compare', 'corresponding', 'quarter']"
172,2,"['operate', 'profit', 'sale', 'three', 'month', 'period', 'increase', 'respectively', 'eur', 'eur', 'compare', 'corresponding', 'period']"
173,2,"['operate', 'profit', 'turnover', 'nine', 'month', 'period', 'increase', 'respectively', 'eur', 'eur', 'compare', 'corresponding', 'period', 'year', 'ago']"
174,2,"['operate', 'profit', 'turnover', 'six', 'month', 'period', 'increase', 'respectively', 'eur', 'eur', 'compare', 'corresponding', 'period']"
175,2,"['operate', 'profit', 'turnover', 'six', 'month', 'period', 'increase', 'respectively', 'eur', 'eur', 'compare', 'corresponding', 'period', 'year', 'ago']"
176,2,"['cargo', 'volume', 'grow']"
177,2,"['cargo', 'volume', 'increase', 'approximately']"
178,2,"['comparable', 'operating', 'profit', 'total', 'eur', 'mn', 'up', 'eur', 'mn']"
179,2,"['digia', 'say', 'consolidated', 'net', 'sale', 'january', 'june', 'eur', 'up', 'period', 'eur']"
180,2,"['diluted', 'earning', 'per', 'share', 'eps', 'rise', 'eur', 'eur']"
181,2,"['diluted', 'earning', 'per', 'share', 'eps', 'rise', 'eur', 'versus', 'eur']"
182,2,"['diluted', 'earning', 'per', 'share', 'eps', 'rise', 'eur', 'eur']"
183,2,"['diluted', 'earning', 'per', 'share', 'eps', 'rise', 'eur', 'eur']"
